归因方式,cpsid,包体id,渠道,设备归因日期,设备激活数,账号注册数,角色创建数,f1,f3,f7,f15,f30,f60,f90,f180,累计付费金额,c1,c3,c7,c15,c30,c60,c90,c180,累计付费人数,次留,三留,七留,月留
ORIG,5796,5796,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5789,5789,yc,2022-07-07,1,1,1,224,716,746,746,746,-,-,-,746,1,1,1,1,1,-,-,-,1,1,1,0,0
ORIG,5784,5784,yc,2022-07-07,15,13,21,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,2,1,0,0
ORIG,5782,5782,yc,2022-07-07,1,1,1,0,0,0,0,-,-,-,-,,0,0,0,0,-,-,-,-,0,1,1,1,-
ORIG,5674,5674,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5665,5665,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5658,5658,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5590,5590,yc,2022-07-07,6,8,22,1,1,1,1,2,-,-,-,2,1,1,1,1,1,-,-,-,1,8,2,1,1
ORIG,5545,5545,yc,2022-07-07,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5527,5527,yc,2022-07-07,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5518,5518,yc,2022-07-07,24,14,14,0,30,30,30,30,-,-,-,30,0,1,1,1,1,-,-,-,1,12,0,1,0
ORIG,5513,5513,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
ORIG,5512,5512,yc,2022-07-07,10,8,10,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,5510,5510,yc,2022-07-07,16,6,8,6,12,12,12,13,-,-,-,13,1,2,2,2,3,-,-,-,3,3,2,1,0
ORIG,5505,5505,yc,2022-07-07,6,2,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,5503,5503,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5501,5501,yc,2022-07-07,8,7,9,1,1,1,1,2,-,-,-,2,1,1,1,1,2,-,-,-,2,3,2,2,1
ORIG,5491,5491,yc,2022-07-07,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5489,5489,yc,2022-07-07,26,26,33,5,36,164,426,426,-,-,-,535,5,6,6,6,6,-,-,-,6,19,9,6,1
ORIG,5488,5488,yc,2022-07-07,28,46,100,17,77,79,139,139,-,-,-,237,3,4,4,4,4,-,-,-,4,22,10,5,1
ORIG,5485,5485,yc,2022-07-07,158,591,1163,24,74,121,180,186,-,-,-,187,5,18,19,19,20,-,-,-,20,446,26,33,6
ORIG,5228,5228,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5075,5075,yc,2022-07-07,42,35,75,18,18,18,18,206,-,-,-,206,3,3,3,3,4,-,-,-,4,15,10,0,0
ORIG,4951,4951,yc,2022-07-07,3,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
ORIG,4947,4947,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,1,1
ORIG,4940,4940,yc,2022-07-07,15,6,9,6,45,45,45,45,-,-,-,45,1,2,2,2,2,-,-,-,2,4,2,1,0
ORIG,4914,4914,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,4913,4913,yc,2022-07-07,52,37,56,14,15,16,17,17,-,-,-,17,4,5,5,6,6,-,-,-,6,20,9,7,1
TD,3110006,311,icn,2022-07-07,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2570012,257,icn,2022-07-07,2,2,9,0,1,74,74,106,-,-,-,113,0,1,1,1,1,-,-,-,1,2,1,1,1
TD,2570001,257,icn,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160216,216,yc,2022-07-07,3,3,7,0,0,10,47,47,-,-,-,47,0,0,1,1,1,-,-,-,1,0,0,1,0
TD,2160211,216,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160210,216,yc,2022-07-07,12,7,7,138,767,1477,5588,44206,-,-,-,55872,1,1,1,1,1,-,-,-,1,2,1,2,1
TD,2160209,216,yc,2022-07-07,5,3,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160208,216,yc,2022-07-07,6,3,5,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,1
TD,2160207,216,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2160206,216,yc,2022-07-07,4,3,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160205,216,yc,2022-07-07,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160204,216,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160112,216,yc,2022-07-07,5,3,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2160110,216,yc,2022-07-07,7,14,17,6,6,6,7,15,-,-,-,15,1,1,1,2,3,-,-,-,3,12,7,3,0
TD,2160104,216,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2160101,216,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,2160000,2160000,yc,2022-07-07,4,3,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130500,213,yc,2022-07-07,6,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130499,213,yc,2022-07-07,4,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130497,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130495,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130491,213,yc,2022-07-07,3,2,2,104,832,1510,2286,5054,-,-,-,6068,1,1,1,1,1,-,-,-,1,1,1,1,1
TD,2130490,213,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130487,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130485,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2130484,213,yc,2022-07-07,6,7,12,1,1,8,8,14,-,-,-,14,1,1,2,2,2,-,-,-,2,4,2,2,1
TD,2130483,213,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130480,213,yc,2022-07-07,4,3,3,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,1,0
TD,2130479,213,yc,2022-07-07,2,3,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2130474,213,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130473,213,yc,2022-07-07,1,1,4,0,0,1,1,75,-,-,-,105,0,0,1,1,1,-,-,-,1,0,0,1,1
TD,2130472,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130471,213,yc,2022-07-07,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130465,213,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130464,213,yc,2022-07-07,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130462,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130410,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130404,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130375,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130349,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2130347,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130345,213,yc,2022-07-07,1,1,8,0,0,326,632,633,-,-,-,633,0,0,1,1,1,-,-,-,1,1,0,1,0
TD,2130344,213,yc,2022-07-07,5,4,4,4,72,78,236,460,-,-,-,460,1,1,1,1,1,-,-,-,1,2,2,1,1
TD,2130340,213,yc,2022-07-07,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130338,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130337,213,yc,2022-07-07,2,2,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130336,213,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130335,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130314,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130313,213,yc,2022-07-07,3,2,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2130306,213,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,1,0,0
TD,2130305,213,yc,2022-07-07,3,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130304,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130303,213,yc,2022-07-07,15,14,17,24,24,24,24,24,-,-,-,24,4,4,4,4,4,-,-,-,4,6,4,2,0
TD,2130302,213,yc,2022-07-07,7,3,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,1,0,0
TD,2130301,213,yc,2022-07-07,4,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130220,213,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130218,213,yc,2022-07-07,7,4,3,72,78,78,78,78,-,-,-,78,1,2,2,2,2,-,-,-,2,1,0,0,0
TD,2130216,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130215,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130214,213,yc,2022-07-07,1,1,2,6,62,68,68,68,-,-,-,68,1,1,1,1,1,-,-,-,1,1,1,0,0
TD,2130213,213,yc,2022-07-07,5,4,5,30,30,30,30,30,-,-,-,30,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2130211,213,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130209,213,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2130207,213,yc,2022-07-07,4,1,2,0,6,6,6,6,-,-,-,6,0,1,1,1,1,-,-,-,1,1,0,0,0
TD,2130205,213,yc,2022-07-07,1,5,8,1,1,2,2,2,-,-,-,2,1,1,1,1,1,-,-,-,1,3,1,2,0
TD,2130204,213,yc,2022-07-07,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2130151,213,yc,2022-07-07,2,3,6,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2130020,213,yc,2022-07-07,2,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,1,0
TD,2130016,213,yc,2022-07-07,8,7,10,132,132,132,132,163,-,-,-,163,2,2,2,2,3,-,-,-,3,3,2,1,1
ORIG,2130000,2130000,yc,2022-07-07,10,4,5,0,6,6,6,6,-,-,-,6,0,1,1,1,1,-,-,-,1,1,0,0,0
TD,2120058,212,yc,2022-07-07,3,4,4,1,1,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2120057,212,yc,2022-07-07,4,3,2,128,128,128,128,128,-,-,-,128,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2120053,212,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120051,212,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120049,212,yc,2022-07-07,5,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120045,212,yc,2022-07-07,1,5,5,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120044,212,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120007,212,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120006,212,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2120005,212,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2120003,212,yc,2022-07-07,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2120002,212,yc,2022-07-07,6,5,5,128,128,128,128,128,-,-,-,128,1,1,1,1,1,-,-,-,1,3,2,0,0
TD,2120001,212,yc,2022-07-07,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
ORIG,2120000,2120000,yc,2022-07-07,15,18,19,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,4,1,0,0
TD,2111000,211,yc,2022-07-07,18,14,35,63,367,10899,26537,35589,-,-,-,43113,2,3,3,3,3,-,-,-,3,6,6,3,2
TD,2110345,211,yc,2022-07-07,1,1,1,6,16,16,16,16,-,-,-,16,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2110344,211,yc,2022-07-07,3,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2110337,211,yc,2022-07-07,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2110336,211,yc,2022-07-07,3,2,4,0,0,12,12,12,-,-,-,12,0,0,1,1,1,-,-,-,1,0,0,0,0
TD,2110333,211,yc,2022-07-07,2,2,3,0,0,6,6,6,-,-,-,6,0,0,1,1,1,-,-,-,1,0,0,0,0
TD,2110332,211,yc,2022-07-07,4,3,5,24,24,24,24,24,-,-,-,24,2,2,2,2,2,-,-,-,2,1,0,0,0
TD,2110321,211,yc,2022-07-07,2,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110319,211,yc,2022-07-07,4,2,5,0,6,12,12,12,-,-,-,12,0,1,1,1,1,-,-,-,1,1,1,0,0
TD,2110318,211,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2110317,211,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110316,211,yc,2022-07-07,10,5,6,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2110315,211,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110314,211,yc,2022-07-07,6,5,7,30,31,31,31,31,-,-,-,31,1,2,2,2,2,-,-,-,2,1,0,1,0
TD,2110313,211,yc,2022-07-07,2,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110311,211,yc,2022-07-07,2,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2110303,211,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2110302,211,yc,2022-07-07,1,1,4,0,0,6,6,6,-,-,-,6,0,0,1,1,1,-,-,-,1,1,0,1,0
TD,2110086,211,yc,2022-07-07,4,3,4,30,30,30,30,30,-,-,-,30,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2110085,211,yc,2022-07-07,1,1,1,6,6,36,36,36,-,-,-,36,1,1,1,1,1,-,-,-,1,1,0,0,0
TD,2110008,211,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2110006,211,yc,2022-07-07,1,11,25,30,30,30,30,30,-,-,-,30,1,1,1,1,1,-,-,-,1,2,1,1,0
TD,2110005,211,yc,2022-07-07,2,2,4,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
ORIG,2110000,2110000,yc,2022-07-07,4,2,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2103202,210,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2103198,210,icn,2022-07-07,1,1,5,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,1
TD,2103197,210,yc,2022-07-07,3,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
TD,2103196,210,yc,2022-07-07,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,0,0
TD,2103195,210,yc,2022-07-07,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,0,0
TD,2103193,210,yc,2022-07-07,2,4,2,0,94,94,94,94,-,-,-,94,0,1,1,1,1,-,-,-,1,1,2,0,0
TD,2103192,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2103170,210,yc,2022-07-07,17,18,33,68,74,266,346,419,-,-,-,425,1,2,3,3,3,-,-,-,3,3,1,2,1
TD,2103169,210,yc,2022-07-07,21,18,24,12,24,263,354,542,-,-,-,542,2,4,5,6,6,-,-,-,6,5,2,2,0
TD,2103139,210,yc,2022-07-07,27,20,29,12,86,155,161,229,-,-,-,229,2,3,3,3,3,-,-,-,3,8,4,4,0
TD,2103094,210,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2103046,210,yc,2022-07-07,18,16,29,37,89,149,707,737,-,-,-,895,3,5,5,6,6,-,-,-,6,5,3,1,1
TD,2103028,210,yc,2022-07-07,1,1,1,0,66,102,102,102,-,-,-,102,0,1,1,1,1,-,-,-,1,1,1,0,0
TD,2103024,210,yc,2022-07-07,25,21,24,650,758,799,799,799,-,-,-,799,9,11,12,12,12,-,-,-,12,9,6,2,0
TD,2102670,210,yc,2022-07-07,2,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2102657,210,yc,2022-07-07,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2102091,210,yc,2022-07-07,4,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2102090,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2102084,210,yc,2022-07-07,23,15,18,214,550,1321,1684,2400,-,-,-,2400,4,5,5,5,5,-,-,-,5,8,4,2,0
TD,2101999,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101995,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,1
TD,2101994,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101992,210,yc,2022-07-07,5,5,7,134,194,394,394,394,-,-,-,394,3,3,3,3,3,-,-,-,3,3,2,2,1
TD,2101989,210,yc,2022-07-07,2,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,1,1,0
TD,2101985,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101980,210,yc,2022-07-07,20,19,23,6994,13812,30611,45132,47872,-,-,-,48240,7,8,8,8,8,-,-,-,8,9,7,7,2
TD,2101976,210,yc,2022-07-07,3,2,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2101975,210,yc,2022-07-07,5,5,11,30,31,170,285,667,-,-,-,997,1,2,2,2,2,-,-,-,2,3,2,1,1
TD,2101970,210,yc,2022-07-07,2,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,2101969,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101964,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101962,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101947,210,yc,2022-07-07,1,2,4,1004,1074,1146,1794,1794,-,-,-,1794,2,2,2,2,2,-,-,-,2,2,1,2,0
TD,2101929,210,yc,2022-07-07,2,2,8,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,1,1
TD,2101928,210,yc,2022-07-07,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101926,210,yc,2022-07-07,3,3,7,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,1,0
TD,2101924,210,yc,2022-07-07,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101920,210,yc,2022-07-07,7,5,6,68,68,68,68,68,-,-,-,68,1,1,1,1,1,-,-,-,1,2,2,0,0
TD,2101919,210,yc,2022-07-07,11,10,9,6,12,12,12,12,-,-,-,12,1,2,2,2,2,-,-,-,2,2,2,0,0
TD,2101918,210,yc,2022-07-07,1,1,3,66,66,126,322,736,-,-,-,864,1,1,1,1,1,-,-,-,1,1,1,1,1
TD,2101914,210,yc,2022-07-07,12,9,11,18,18,18,18,18,-,-,-,18,3,3,3,3,3,-,-,-,3,2,1,0,0
TD,2101913,210,yc,2022-07-07,7,5,4,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,2101912,210,yc,2022-07-07,1,1,2,0,6,6,6,6,-,-,-,6,0,1,1,1,1,-,-,-,1,1,1,0,0
TD,2101887,210,yc,2022-07-07,12,12,16,13,13,81,81,149,-,-,-,149,3,3,4,4,4,-,-,-,4,5,1,1,2
TD,2101885,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101884,210,yc,2022-07-07,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101882,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,1,0,0
TD,2101881,210,yc,2022-07-07,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,2101745,210,yc,2022-07-07,16,14,17,42,42,42,394,394,-,-,-,394,3,3,3,4,4,-,-,-,4,3,2,0,0
TD,2101744,210,yc,2022-07-07,4,2,8,0,0,74,74,74,-,-,-,74,0,0,1,1,1,-,-,-,1,1,0,1,0
TD,2101743,210,yc,2022-07-07,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,2101742,210,yc,2022-07-07,4,4,4,0,42,42,42,42,-,-,-,42,0,1,1,1,1,-,-,-,1,1,1,0,0
ORIG,2101019,2101019,yc,2022-07-07,56,39,63,105,507,1034,2196,4064,-,-,-,4324,9,10,11,12,13,-,-,-,13,10,7,7,3
TD,11840001,1184,icn,2022-07-07,1,1,2,0,6,6,6,12,-,-,-,12,0,1,1,1,1,-,-,-,1,1,0,0,0
ORIG,0,0,yc,2022-07-07,3,3,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,0,0,icn,2022-07-07,117,81,88,1036,4016,4435,7012,7422,-,-,-,7738,7,10,15,16,18,-,-,-,18,23,22,11,8
TD,9010004,901,icn,2022-07-08,3,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,2,1,0,0
TD,9010003,901,icn,2022-07-08,1,1,3,0,0,0,0,1,-,-,-,1,0,0,0,0,1,-,-,-,1,1,1,1,1
TD,9010001,901,icn,2022-07-08,33,36,45,1854,7862,11029,14706,18760,-,-,-,18986,8,10,12,12,12,-,-,-,12,13,12,8,3
TD,8721000,872,icn,2022-07-08,1,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,1,0,0
TD,8610253,861,icn,2022-07-08,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,8610251,861,icn,2022-07-08,1,3,4,0,0,2706,5028,5562,-,-,-,5562,0,0,1,1,2,-,-,-,2,1,1,1,0
TD,61249045,6124,yc,2022-07-08,4,3,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,6124,6124,yc,2022-07-08,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,0,0
